Customer ID,Recency,Frequency,Monetary
12455,72,10,5879.95
12456,43,3,3181.04
12457,65,8,2995.91
12458,70,4,1777.49
12459,604,1,454.36
12460,455,1,326.65
12461,93,2,826.88
12462,18,2,1189.59
12463,52,4,1344.78
12464,9,8,1212.05
12465,16,2,742.19
12466,681,1,56.73
12467,422,1,132.8
12468,187,5,3670.7400000000002
12469,522,2,3070.54
12470,689,1,211.95
12471,1,79,39918.19
12472,31,19,16249.29
12473,28,5,3928.05
12474,16,31,12372.75
12475,53,2,1149.64
12476,15,23,14083.91
12477,22,9,20276.37
12478,3,1,680.99
12479,10,1,527.2
12480,27,7,5464.85
12481,22,15,12185.51
12482,575,29,23691.4
12483,16,19,5097.18
12484,32,12,6354.1
12485,528,1,708.1
12486,431,1,1037.28
12487,730,1,285.3
12488,9,3,1298.66
12489,335,1,334.93
12490,4,21,9823.64
12491,38,1,460.40000000000003
12492,62,3,715.21
12493,165,2,433.74
12494,15,9,1815.27
12495,640,1,357.4
12496,619,2,45.34
12497,81,3,6248.5
12498,20,3,403.70000000000005
12499,559,1,393.72
12500,22,19,5955.21
12501,336,1,2169.39
12502,95,5,3723.87
12503,583,1,1126.0
12504,17,4,779.05
12505,408,1,955.2
12506,232,1,73.5
12507,133,4,1844.06
12508,25,2,397.88
12509,283,1,176.5
12510,142,9,5178.02
12511,428,1,3084.02
12512,65,2,132.18
12513,112,1,612.29
12514,266,2,1597.76
12515,352,1,383.7
12516,77,4,2648.62
12517,27,5,2481.6
12518,0,5,2056.89
12519,63,2,716.54
12520,78,5,2634.26
12521,142,1,599.68
12522,38,2,192.72
12523,18,23,4352.35
12524,8,17,11126.11
12525,497,3,973.73
12526,0,3,1316.66
12527,81,5,735.51
12528,8,6,1933.48
12529,527,1,316.48
12530,59,9,3759.26
12531,14,2,1933.2
12532,29,1,349.83000000000004
12533,627,2,1367.89
12534,130,1,1089.18
12535,91,2,716.35
12536,42,3,12601.830000000002
12537,408,1,732.94
12538,28,2,640.45
12539,21,7,11214.75
12540,19,33,22254.49
12541,29,3,981.18
12542,483,2,481.88
12543,447,1,980.25
12544,35,1,372.7
12545,74,2,1000.39
12546,46,2,1161.5
12547,197,3,383.58
12548,165,1,95.19999999999999
12549,575,6,1575.68
12550,78,1,964.83
12551,357,1,168.0
12552,38,2,437.82
12553,7,12,4608.75
12554,448,1,468.5
12555,681,1,129.23
12556,49,2,599.56
12557,15,8,18096.14
12558,7,1,269.96
12559,310,2,561.71
12560,4,3,2134.01
12561,302,1,238.85
12562,7,9,4966.92
12563,408,1,249.24
12564,260,1,456.90000000000003
12565,288,1,145.92000000000002
12566,85,1,351.65
12567,22,15,11767.48
12568,644,1,70.0
12569,1,32,4124.6900000000005
12570,681,1,77.52
12571,39,2,519.61
12572,8,2,1020.4200000000001
12573,226,5,717.41
12574,315,1,218.45000000000002
12575,456,2,622.82
12576,35,8,2142.7200000000003
12577,34,8,1617.1
12578,20,4,4642.45
12579,77,1,440.42
12580,246,2,1052.9
12581,39,1,197.71
12582,238,4,1980.4
12583,2,27,13591.58
12584,3,9,2338.15
12585,233,2,2040.1
12586,16,4,2062.67
12587,7,1,144.0
12588,38,4,958.78
12589,28,8,4695.66
12590,210,2,9864.26
12591,316,3,1338.95
12592,91,5,2582.66
12593,108,3,418.1
12594,37,15,5090.110000000001
12595,504,1,299.02
12596,50,2,618.27
12597,18,4,3811.22
12598,9,11,4534.09
12599,28,13,2296.72
12600,28,21,4967.42
12601,189,6,681.26
12602,58,1,153.12
12603,21,1,739.1999999999999
12604,78,2,254.18
12605,375,4,1232.95
12606,681,1,21.0
12607,59,1,1579.51
12608,404,1,415.79
12609,77,9,3435.86
12610,22,5,2099.54
12611,51,1,1193.32
12612,73,1,704.04
12613,56,10,6817.37
12614,277,1,315.6
12615,1,8,5740.9800000000005
12616,94,3,1131.1
12617,28,1,352.98
12618,21,1,177.31
12619,15,10,3781.38
12620,14,3,1339.41
12621,1,35,24311.2
12622,231,1,180.1
12623,275,7,3747.84
12624,105,2,641.13
12625,211,4,5164.88
12626,22,9,6620.4800000000005
12627,10,7,4478.53
12628,3,3,786.46
12629,385,2,1558.22
12630,9,2,1270.88
12631,56,6,3481.57
12632,520,2,804.88
12633,58,7,5678.16
12634,535,2,490.0
12635,89,4,2930.41
12636,738,1,141.0
12637,66,12,8283.81
12638,32,2,921.49
12639,238,3,1312.3700000000001
12640,23,3,1174.58
12641,114,1,185.9
12642,24,3,1013.26
12643,127,12,8304.82
12644,129,4,1918.49
12645,33,8,3539.3
12646,4,2,1346.97
12647,21,36,16955.55
12648,154,4,1112.0
12649,106,8,2294.65
12650,2,1,314.44
12651,334,4,377.75
12652,330,2,1017.0300000000001
12653,148,3,4160.83
12654,10,5,601.98
12655,423,1,261.35
12656,16,8,6407.83
12657,10,4,1643.18
12658,18,1,686.05
12659,29,1,91.68
12660,10,1,245.10000000000002
12661,435,1,162.0
12662,0,20,6726.54
12663,624,2,239.4
12664,7,11,6070.04
12665,324,3,313.6
12666,393,1,1248.42
12667,57,1,620.13
12668,11,10,11383.03
12669,150,3,2744.0299999999997
12670,9,7,3760.29
12671,605,1,2622.481
12672,329,2,437.05
12673,4,3,1230.02
12674,38,4,1970.6
12675,553,2,957.25
12676,24,11,2843.09
12677,554,2,395.1
12678,41,21,34281.18
12679,58,4,1113.02
12680,0,4,880.81
12681,14,45,29834.760000000002
12682,3,52,22950.22
12683,3,21,11633.7
12684,7,7,2283.63
12685,27,6,2863.08
12686,371,1,89.14
12687,480,2,2138.91
12688,113,1,4873.81
12689,25,2,1247.6100000000001
12690,205,1,389.01
12691,27,7,1170.4
12692,636,1,110.95
12693,126,7,1703.02
12694,69,3,1843.35
12695,6,7,1407.1200000000001
12696,434,2,851.91
12697,28,3,957.59
12698,589,1,339.75
12699,417,1,638.11
12700,7,4,4939.99
12701,79,6,2446.41
12702,19,1,219.0
12703,70,4,1006.53
12704,6,8,2340.84
12705,14,14,11762.1
12707,291,1,603.42
12708,29,18,5117.66
12709,14,34,30291.76
12710,96,3,1149.02
12711,611,2,1339.05
12712,28,21,6723.03
12713,0,1,848.55
12714,8,12,14093.710000000001
12715,105,1,343.36
12716,3,2,1053.49
12717,150,3,1308.91
12718,70,1,238.25
12719,4,2,644.95
12720,2,30,7787.28
12721,31,8,4013.08
12722,84,4,997.63
12723,3,5,725.07
12724,4,7,2317.52
12725,370,4,2266.76
12726,27,11,4014.6
12727,10,10,5679.53
12728,70,5,1070.17
12729,113,1,453.01
12730,521,1,829.25
12731,23,17,25775.71
12732,179,1,236.26000000000002
12733,233,4,2424.87
12734,352,3,639.65
12735,314,2,779.5699999999999
12736,332,1,234.0
12737,498,2,3710.5
12738,371,1,155.35
12739,77,4,2726.73
12740,63,1,427.6
12741,528,2,406.07
12742,625,1,1201.52
12743,133,2,540.13
12744,51,11,25317.06
12745,486,3,925.41
12746,540,1,254.55
12747,1,26,8898.48
12748,0,336,53539.64
12749,3,9,6897.36
12750,128,1,275.88
12751,444,1,268.27
12752,80,1,4366.78
12753,22,6,21429.39
12754,235,3,3010.74
12755,280,11,5236.26
12756,86,1,112.08
12757,15,13,7834.650000000001
12758,116,7,9903.24
12759,51,8,5020.74
12760,455,1,347.8
12761,457,2,782.95
12762,7,2,1898.52
12763,137,2,494.08
12764,316,1,1693.88
12765,471,6,1404.58
12766,3,9,8918.99
12767,375,1,949.82
12768,450,1,168.69
12769,238,1,1143.6
12770,210,2,3246.45
12771,485,1,282.3
12772,59,1,892.47
12773,563,1,124.25
12774,535,1,98.7
12775,16,7,1686.1200000000001
12776,667,1,55.5
12777,457,1,519.45
12778,19,9,1775.68
12779,37,14,6474.11
12780,598,1,337.4
12781,63,2,826.74
12782,4,11,4618.24
12783,1,6,2225.91
12784,8,3,1763.15
12785,363,3,1100.4
12786,609,1,728.5000000000001
12787,9,4,862.1800000000001
12788,462,4,444.90000000000003
12789,64,3,273.35
12790,191,2,591.85
12791,373,6,863.51
12792,256,2,827.01
12793,334,3,885.53
12794,52,2,860.41
12795,18,1,430.48
12796,627,1,381.0
12797,365,2,552.08
12798,9,4,8510.93
12799,528,1,219.35
12800,469,3,584.25
12801,500,1,1071.82
12802,186,7,2416.42
12803,392,1,1092.81
12804,465,2,325.37
12805,381,4,1434.95
12806,434,4,2878.96
12807,382,1,330.35
12808,36,5,776.7
12809,177,3,1755.94
12810,534,2,534.99
12811,260,5,1033.9
12812,44,1,229.64000000000001
12813,501,3,1687.8
12814,101,1,125.92
12815,147,2,1063.46
12816,95,2,572.2
12817,280,3,690.98
12818,261,1,1542.08
12819,457,1,540.52
12820,2,11,2689.52
12821,213,2,220.8
12822,70,2,948.88
12823,74,18,6501.5
12824,59,1,397.12
12825,520,2,518.63
12826,2,12,2800.75
12827,5,3,430.15
12828,2,6,1018.71
12829,336,3,385.3
12830,37,6,6814.64
12831,261,3,451.11
12832,31,2,383.03000000000003
12833,144,1,417.38
12834,282,1,312.38
12835,427,41,5996.83
12836,58,15,6559.7300000000005
12837,172,2,662.66
12838,33,10,2975.91
12839,2,26,9669.12
12840,143,7,4041.9700000000003
12841,4,40,6958.2
12842,69,4,1917.99
12843,65,30,6583.36
12844,28,4,648.6
12845,266,4,354.09000000000003
12846,681,1,15.58
12847,21,2,1609.0
12848,675,1,208.0
12849,30,6,3042.4700000000003
12850,445,1,330.0
12851,96,2,280.76
12852,294,1,311.55
12853,134,11,3907.5
12854,78,7,2970.9700000000003
12855,372,4,612.84
12856,7,6,2170.78
12857,210,6,3688.0
12858,382,1,147.27
12859,458,1,575.1
12860,692,1,54.22
12861,619,1,68.25
12862,425,2,984.62
12863,51,6,2792.55
12864,137,2,299.57
12865,25,4,3323.4700000000003
12866,282,3,1227.35
12867,25,13,7829.26
12868,185,8,2043.76
12869,681,1,337.66999999999996
12870,374,3,1676.95
12871,83,3,744.02
12872,326,12,3283.96
12873,281,3,2027.3
12874,384,2,948.42
12875,142,5,1356.9900000000002
12876,57,4,4081.79
12877,3,20,2942.14
12878,235,2,854.99
12879,44,3,573.22
12880,381,2,640.13
12881,275,1,298.0
12882,8,2,1463.04
12883,24,4,703.47
12884,87,1,309.05
12885,62,3,1175.22
12886,67,2,1378.4
12887,383,1,222.4
12888,213,2,354.12
12889,380,4,385.46000000000004
12890,23,2,706.02
12891,185,11,840.5
12892,396,1,263.38
12893,30,1,176.55
12894,574,1,157.35
12895,41,2,372.8
12897,204,4,514.25
12898,463,2,296.21
12899,413,1,366.4
12900,421,1,340.33000000000004
12901,8,28,17654.54
12902,264,1,138.68
12903,428,1,833.5300000000001
12904,17,2,496.06
12905,576,2,1018.42
12906,11,5,2919.81
12907,395,2,508.91
12908,175,5,1776.0
12909,39,8,3103.19
12910,22,13,5796.52
12911,551,1,1651.72
12912,2,5,1662.3
12913,4,13,6283.24
12914,400,1,223.98
12915,148,4,975.1
12916,138,7,4479.73
12917,127,6,4359.2
12918,625,1,10953.5
12919,7,6,1335.19
12920,16,4,486.64
12921,8,74,35233.24
12922,160,1,405.38
12923,63,3,770.42
12924,87,12,2469.4
12925,4,3,729.33
12926,410,4,1523.97
12927,394,1,197.31
12928,34,12,4304.89
12929,311,1,117.85
12930,77,2,415.8
12931,21,57,92347.34
12932,538,8,1698.56
12933,23,8,1636.63
12934,736,1,181.65
12935,1,15,4243.86
12936,16,4,1063.9
12937,14,9,3097.61
12938,25,1,114.14
12939,63,20,25264.8
12940,54,2,899.69
12941,723,1,377.49
12942,130,3,675.6
12943,557,2,496.5
12944,35,2,604.51
12945,287,2,900.11
12946,436,1,324.45
12947,143,6,1603.99
12948,15,9,2317.43
12949,30,22,15526.7
12950,1,3,1843.0
12951,8,15,3213.7200000000003
12952,5,4,1387.79
12953,9,2,828.8100000000001
12954,638,1,162.45
12955,0,11,4757.16
12956,305,4,521.89
12957,9,13,8706.97
12958,399,2,467.34
12959,483,1,150.95
12960,413,4,1322.0700000000002
12961,378,1,211.99
12962,6,2,266.39
12963,7,12,3235.79
12964,436,1,132.24
12965,88,1,769.8100000000001
12966,9,1,160.18
12967,357,3,2938.52
12968,111,1,135.95
12969,602,1,122.45
12970,6,10,1453.6
12971,3,116,15704.6
12972,413,4,1161.2
12973,413,1,385.55
12974,197,2,408.95
12975,436,6,2100.09
12976,211,8,3156.38
12977,155,4,513.88
12978,384,5,2502.82
12979,728,1,517.7
12980,157,21,16245.78
12981,29,2,372.21999999999997
12982,242,8,2744.81
12983,597,1,490.08
12984,18,1,97.5
12985,0,2,1239.38
12986,428,10,2729.84
12987,73,5,1312.21
12988,291,1,505.82
12989,2,33,13551.75
12990,30,7,955.5
12991,22,3,764.82
12992,724,1,93.35
12993,22,8,1259.63
12994,3,3,974.42
12995,84,1,211.32
12996,375,1,355.5
12997,21,8,2110.91
12998,492,3,920.08
12999,195,3,455.88
13000,106,4,1032.5
13001,3,33,24042.65
13002,317,3,414.13
13003,105,3,149.05
13004,11,36,11650.85
13005,173,4,999.68
13006,55,1,81.57
13007,579,1,175.25
13008,322,3,612.13
13009,672,1,234.0
13010,373,2,330.12
13011,371,1,50.550000000000004
13012,8,11,2957.83
13013,0,29,11097.43
13014,10,11,5381.08
13015,52,11,6579.78
13016,72,3,789.89
13017,6,1,204.0
13018,15,35,9763.16
13019,378,6,1229.95
13020,562,2,618.96
13021,3,17,4887.24
13022,429,1,65.3
13023,63,3,1449.03
13024,470,2,555.87
13025,731,1,323.39
13026,0,9,1733.08
13027,113,19,17239.2
13028,22,2,661.3199999999999
13029,30,5,1927.3
13030,10,2,752.44
13031,406,5,3292.84
13032,51,9,2815.96
13033,356,2,220.55
13034,54,3,756.82
13035,73,3,1364.2
13036,684,1,307.1
13037,137,12,3914.9500000000003
13038,79,3,908.46
13039,583,4,1010.73
13040,8,2,676.99
13041,450,4,799.13
13042,597,3,1488.59
13043,272,1,516.42
13044,290,11,4848.05
13045,98,3,808.9200000000001
13046,30,3,949.25
13047,31,24,8428.53
13048,13,9,4049.13
13049,63,4,1408.24
13050,14,35,11986.52
13051,578,2,155.8
13052,211,7,3119.33
13053,621,1,127.65
13055,77,4,2321.11
13056,550,1,209.48
13057,529,3,709.59
13058,24,3,271.40000000000003
13059,249,10,2291.77
13060,253,1,307.53000000000003
13061,71,1,248.61
13062,190,1,346.98
13063,480,1,188.4
13064,12,6,1666.84
13065,372,5,1055.05
13066,23,2,470.8
13067,81,3,508.51
13068,9,2,344.0
13069,0,38,9284.45
13070,191,4,751.7
13071,611,1,129.22
13072,266,1,177.15
13073,410,2,418.08
13074,510,4,1378.74
13075,129,1,919.61
13076,457,1,135.4
13077,0,11,2740.65
13078,2,57,29018.06
13079,3,6,419.18
13080,178,4,280.73
13081,11,28,56838.37
13082,125,21,7335.75
13083,3,3,395.43
13084,491,1,122.39999999999999
13085,157,8,2433.28
13086,382,1,439.33000000000004
13087,725,1,313.64
13088,416,1,236.11
13089,2,203,113416.91
13090,8,24,13091.74
13091,27,3,2321.82
13092,70,12,2140.28
13093,275,55,54144.25
13094,20,13,2209.44
13095,70,1,74.39999999999999
13096,393,1,419.7000000000001
13097,32,28,13324.1
13098,0,28,28882.44
13099,98,1,207.36
13101,233,4,695.4
13102,0,37,11380.1
13103,39,3,709.64
13104,2,9,1709.1
13105,435,1,72.0
13106,132,2,603.46
13107,43,9,5253.07
13108,372,2,748.46
13109,59,3,1134.03
13110,30,12,2957.4700000000003
13111,718,1,321.88000000000005
13112,540,1,20.599999999999998
13113,0,37,18230.07
13114,730,1,234.38
13115,11,10,5494.7
13116,137,1,501.14
13117,21,18,2255.66
13118,19,9,2415.41
13119,668,1,134.9
13120,238,1,30.6
13121,268,1,283.73
13122,93,2,922.39
13123,472,2,506.75
13124,89,4,4641.66
13125,523,1,148.62
13126,4,13,3774.81
13127,77,1,259.17
13128,630,1,263.5
13129,451,2,233.25
13130,93,1,64.0
13131,22,7,3313.77
13132,261,1,77.3
13133,273,3,200.45
13134,85,6,2475.23
13135,196,2,3371.45
13136,55,13,6274.56
13137,10,16,7586.94
13138,21,7,1274.01
13139,15,8,8202.98
13140,107,5,1054.92
13141,84,17,7656.08
13142,18,1,307.09000000000003
13143,584,1,405.1
13144,332,2,135.35
13145,39,7,1128.52
13146,25,1,228.91
13147,9,4,712.8
13148,28,26,8497.82
13149,13,4,1676.06
13150,483,3,449.96999999999997
13151,295,3,2465.21
13152,416,7,2146.38
13153,5,1,486.22
13154,398,3,1624.84
13155,32,6,1370.48
13156,384,3,1586.54
13157,48,9,5687.36
13158,94,5,1508.18
13159,8,4,1429.35
13160,21,1,91.8
13161,312,2,472.13
13162,121,16,9275.49
13163,609,1,17.65
13164,568,2,372.2
13165,45,3,1451.1599999999999
13166,282,2,875.93
13167,18,5,1125.15
13168,35,5,1840.73
13169,63,3,840.08
13170,26,1,108.81
13171,21,3,468.41
13172,399,1,69.6
13173,3,11,2399.82
13174,15,12,7995.36
13175,581,2,831.45
13176,45,1,481.49
13177,64,2,512.2
13178,25,21,14059.19
13179,618,1,572.3100000000001
13180,606,1,86.10000000000001
13181,380,1,359.69
13182,44,1,121.18
13183,7,15,7036.18
13184,14,10,1668.95
13185,267,1,71.4
13186,39,3,1575.89
13187,336,4,341.36
13188,10,1,114.6
13189,18,2,260.68
13190,543,3,570.66
13191,657,1,164.69
13192,94,6,2558.58
13193,60,1,112.08
13194,135,2,472.78
13195,413,1,136.73
13196,10,7,3068.84
13197,609,1,373.01000000000005
13198,9,8,4974.2300000000005
13199,3,67,15964.210000000001
13200,18,4,870.09
13201,501,4,1233.06
13202,393,7,1580.3
13203,9,10,2648.25
13204,730,1,966.6600000000001
13205,442,1,2803.2
13206,399,13,8308.19
13207,14,4,535.86
13208,58,9,1976.3
13209,29,13,8509.51
13210,93,1,353.48
13211,9,10,2618.77
13212,19,3,786.83
13213,56,11,3851.52
13214,417,7,3264.23
13215,401,1,81.6
13216,267,1,333.74
13217,121,4,666.48
13218,126,1,62.64
13219,617,1,76.23
13220,77,5,1336.0900000000001
13221,239,2,847.41
13222,576,1,88.5
13223,199,6,969.12
13224,59,2,2155.95
13225,2,16,16260.07
13226,272,2,312.46
13227,201,1,257.7
13228,80,1,358.0
13229,225,1,160.95
13230,3,30,6120.01
13232,12,7,1328.35
13233,73,4,1176.46
13234,672,2,346.5
13235,211,1,1031.07
13236,24,2,744.85
13237,387,1,643.0
13238,16,6,1006.63
13239,261,5,1594.69
13240,95,8,1475.79
13241,411,1,112.53
13242,111,7,699.4
13243,202,5,1220.38
13244,92,1,121.74000000000001
13245,50,2,989.22
13246,17,11,3351.75
13247,17,4,501.12
13248,124,2,465.68
13249,91,9,1608.9299999999998
13250,460,2,253.09
13251,401,1,252.68
13252,393,2,399.3
13253,156,4,2951.11
13254,375,1,51.41
13255,8,3,678.76
13257,435,1,149.75
13258,11,5,1009.43
13259,61,9,1402.54
13260,60,1,557.62
13261,268,2,944.1
13262,262,3,573.45
13263,0,39,8676.2
13264,442,1,722.5600000000001
13265,52,5,2092.66
13266,10,19,6135.04
13267,2,36,9429.81
13268,17,11,3174.75
13269,0,28,8537.32
13270,365,1,590.0
13271,36,1,211.49
13272,30,2,276.56
13273,112,1,138.98
13274,408,1,360.85
13275,383,2,238.86
13276,63,5,1891.91
13277,15,7,523.3
13278,40,4,1435.85
13279,77,1,137.75
13280,121,7,2293.33
13281,438,1,350.85
13282,17,4,1313.19
13283,59,4,373.36
13284,330,1,201.19
13285,22,6,3364.59
13286,599,1,734.91
13287,602,3,781.59
13288,442,5,927.61
13289,723,1,307.95
13290,437,1,208.63
13291,155,11,3270.79
13292,38,5,994.51
13293,391,6,1192.94
13294,189,3,1689.53
13295,359,4,1101.97
13296,136,6,792.51
13297,7,7,4368.62
13298,0,1,360.0
13299,267,3,1218.7
13300,168,3,1285.51
13301,103,4,618.09
13302,154,2,159.2
13303,399,1,61.72
13304,350,4,1217.99
13305,3,16,3616.41
13306,429,1,53.65
13307,119,3,273.34
13308,22,4,1670.3700000000001
13309,6,6,1706.3700000000001
13310,27,5,1541.2
13311,3,2,598.57
13312,450,1,124.75
13313,21,12,3445.32
13314,1,3,775.94
13315,688,1,310.26000000000005
13316,36,10,12940.82
13317,65,19,6486.091
13318,0,3,640.76
13319,4,58,21323.22
13320,77,6,2211.6
13321,71,2,567.36
13322,16,1,199.48000000000002
13323,2,5,787.85
13324,35,18,10513.47
13325,81,1,675.3
13326,431,1,281.76
13327,38,20,9134.48
13328,315,1,1308.48
13329,31,8,4808.7699999999995
13330,92,6,2796.1
13331,401,1,262.4
13332,13,1,350.90000000000003
13333,410,3,1015.74
13334,81,5,6201.8
13336,76,1,795.12
13337,545,1,1575.26
13338,157,4,2445.62
13339,200,1,860.12
13340,44,12,22100.56
13341,260,1,775.85
13343,177,1,353.43
13344,67,3,2511.69
13345,287,1,389.5
13346,462,6,299.4
13347,69,1,341.36
13348,63,1,233.76000000000002
13349,10,1,247.32
13350,15,2,979.12
13351,65,1,373.94
13352,59,1,397.98
13354,70,1,743.53
13355,121,1,674.7
13356,79,1,768.24
13357,256,5,3805.51
13358,268,1,439.03000000000003
13359,63,2,1043.31
13360,431,4,1553.65
13361,471,2,1450.5
13362,8,7,5394.07
13363,17,3,1723.8600000000001
13364,70,1,134.96
13365,33,2,2225.37
13366,49,1,56.16
13367,431,1,510.2
13368,256,4,1121.5
13369,365,1,308.28000000000003
13370,371,1,754.87
13371,504,2,2297.66
13372,89,1,378.64
13373,60,6,7587.1900000000005
13374,414,2,422.8
13375,88,2,1792.23
13376,98,3,1019.76
13377,396,2,1552.88
13379,25,3,572.56
13380,432,1,62.4
13381,31,12,8224.37
13382,280,5,1387.58
13383,543,1,305.28000000000003
13384,30,11,6680.83
13385,329,1,534.57
13386,413,2,835.46
13387,416,1,186.94
13388,130,3,1185.65
13389,10,3,797.96
13390,74,1,544.08
13391,203,1,59.8
13392,676,1,91.14
13393,583,4,1131.45
13394,1,19,6621.7
13395,184,3,1180.23
13396,28,2,1360.99
13397,72,10,3191.87
13398,191,2,670.34
13399,463,3,275.4
13400,582,1,310.83
13402,126,4,1226.8500000000001
13403,17,3,229.5
13404,0,2,252.49
13405,73,6,1213.811
13406,426,2,568.92
13407,578,3,2244.7
13408,1,106,50174.782
13410,23,9,2201.96
13411,106,1,213.55
13412,619,1,487.35
13413,639,6,429.44
13414,133,6,2494.14
13415,472,4,784.17
13416,43,3,940.8000000000001
13417,4,6,1669.49
13418,11,31,11559.66
13419,63,1,221.06
13420,149,2,159.85
13421,39,8,4058.75
13422,63,1,2626.3
13423,428,1,217.03
13424,449,1,572.77
13425,107,5,3390.4300000000003
13426,0,22,8167.38
13427,18,6,1006.53
13428,9,3,478.54
13429,10,4,1006.8
13430,18,2,679.45
13431,66,8,3316.2400000000002
13432,570,2,439.1
13433,500,4,658.32
13434,73,5,1666.8600000000001
13435,4,9,4447.33
13436,1,1,196.89
13437,13,7,3408.06
13438,546,1,46.5
13439,254,3,986.61
13440,422,7,1295.25
13441,91,2,720.9
13442,666,3,419.87
13443,448,6,1273.16
13444,373,2,619.08
13445,625,1,241.89999999999998
13446,429,11,3881.89
13447,22,3,1129.14
13448,16,13,8745.93
13449,23,1,291.88
13450,26,13,4120.04
13451,25,11,7090.06
13452,258,3,729.8
13453,165,3,781.69
13454,640,1,219.87
13455,24,6,2212.9900000000002
13456,17,6,1766.72
13457,688,2,148.22
13458,6,16,11959.27
13459,624,2,1160.41
13460,28,2,183.44
13461,38,6,4160.0
13462,252,5,1153.8500000000001
13464,57,6,3097.64
13465,445,2,931.12
13466,183,5,1013.35
13467,10,2,1071.91
13468,1,72,12793.28
13469,652,1,82.4
13470,98,2,165.0
13471,0,4,2501.84
13472,463,2,592.24
13473,60,8,2657.76
13474,235,3,646.59
13475,190,4,1431.78
13476,178,5,2061.4700000000003
13477,37,11,2819.17
13478,468,5,2215.78
13479,200,4,851.37
13480,416,2,627.82
13481,45,11,3830.84
13482,231,2,336.09
13483,65,1,140.34
13484,240,3,790.72
13485,232,11,3019.2200000000003
13486,77,3,1122.41
13487,57,5,846.87
13488,16,23,14205.960000000001
13489,104,4,449.52
13490,653,1,154.25
13491,51,27,4467.66
13492,135,3,1269.84
13493,274,2,618.63
13494,311,1,316.26000000000005
13495,7,10,4863.31
13496,10,2,653.33
13497,282,6,1166.8300000000002
13498,729,1,327.38
13499,17,5,1159.1100000000001
13500,22,4,1466.3
13501,287,3,2885.11
13502,16,5,780.5
13503,70,6,1859.24
13504,63,1,295.93
13505,72,4,4393.63
13506,315,5,1338.08
13507,2,4,2479.16
13508,243,2,287.05
13509,8,8,1114.72
13510,0,11,4558.29
13511,676,1,282.76
13512,260,4,713.39
13513,126,3,824.59
13514,73,4,815.9000000000001
13515,72,6,1265.82
13516,20,4,1685.26
13517,59,3,2128.42
13518,85,1,627.16
13519,77,2,343.21
13520,58,11,6606.0
13521,0,3,1071.73
13522,29,1,125.80000000000001
13523,32,6,4534.57
13524,40,5,680.1800000000001
13525,14,2,628.78
13526,737,2,1182.0
13527,33,12,4541.29
13529,78,2,307.76
13530,633,1,402.98
13531,204,6,1433.07
13532,33,1,210.31
